Judul Berita,Label
"
Tahap Awal, Smelter Freeport Produksi 850 Ribu Ton Konsentrat Tembaga
",Positif
"
Ucapkan Maaf Lahir Batin, Zulhas: Persaingan Selesai, Rakyat Sudah Tentukan Pilihan
",Netral
"
Maruarar Buka Suara soal Masuk Daftar Calon Menteri Kabinet Prabowo-Gibran
",Netral
"
Tiga Tol Terpanjang di Jawa, Siapa Tahu Sempat Dilewati Saat Mudik
",Netral
"
Bahlil Ungkap Gelar Open House Gara-gara Jokowi
",Netral
"
Kisah Bisnis Biskuit Khong Guan, Camilan yang Biasanya Ada Saat Lebaran
",Netral
"
Smelter Freeport Rampung Mei, tapi Mulai Produksi Agustus
",Netral
"
AS Jual Peralatan Canggih Rp 2 T buat Ukraina Sikat Rusia, Begini Cara Bayarnya
",Negatif
"
Bos Freeport Buka Suara soal Negosiasi Saham yang Jokowi Sebut Alot Banget
",Netral
"
China Diam-diam Lagi Nimbun Emas Nih, Ada Apa Ya?
",Netral
"
Jokowi Turun Lagi ke IKN Usai Lebaran
",Netral
"
Rencana Menteri Basuki Bareng Istri Pindah ke IKN Juli
",Netral
"
Cerita Menteri Jokowi Menangis Saat Lihat Mudik Lebaran
",Netral
"
Perbaikan Tol Bocimi Dikebut, H+1 Lebaran 1 Lajur Dibuka
",Positif
"
Rencana Basuki di Hari Lebaran: Ziarah ke Makam Eks Menteri PUPR-Makan Pempek
",Netral
"
Pengeluaran Membengkak Sebelum Lebaran? Cek Catatan Transaksinya di BRImo
",Netral
"
Ini Dia 3 Orang Indonesia yang Lebih Kaya dari Jack Ma
",Positif
"
Jangan Bagi-bagi Angpau Pake Duit Ini, Nggak Laku Lagi!
",Negatif
"
Sambut Lebaran, Nelayan di Aceh Libur Melaut
",Netral
"
Impor Televisi, AC, Kulkas, hingga Laptop Dibatasi! Ternyata Ini Alasannya
",Negatif
"
Contoh Ucapan Selamat Idul Fitri 1445 H buat Bos-Rekan Bisnis, Langsung WA
",Netral
"
Nggak Nyangka! Ada 10 Tol Unik di RI, Punya Terowongan Gajah-Bisa Nyanyi
",Netral
"
Meningkatnya Permintaan Telur Ayam untuk Lebaran
",Positif
"
Terlibat Korupsi Rp 200 T, Pengusaha Vietnam Ini Divonis Hukuman Mati!
",Negatif
"
Kunjungan Naik hingga 300%, Ini Rest Area Terfavorit Selama Mudik
",Positif
"
Pengusaha Wanti-wanti Prabowo Disiplin Kelola APBN Tahun Depan
",Negatif
"
Alasan di Balik Impor Televisi, Kulkas, hingga Laptop Diperketat
",Negatif
"
Ditanya Menteri Keuangan Kabinet Baru, Prabowo: Masih Lama!
",Netral
"
Jadi Lokasi Favorit Kerja, SCBD Siapa yang Punya?
",Netral
"
Pengusaha Waswas Barang Impor Serbu RI
",Negatif
"
Arus Balik Segera Dimulai, Perhatikan Ini Agar Aman Lewati Contraflow
",Netral
"
1,87 Juta Kendaraan Diproyeksi Serbu Jabotabek Saat Arus Balik
",Negatif
"
Pengusaha Kelas Kakap hingga Tokoh Sambangi Open House Airlangga
",Netral
"
Menhub Minta Pemudik Balik Lebih Awal dan Hindari Travel Gelap
",Netral
"
Tol Semarang-Jakarta Diskon 20% Saat Arus Balik, Tarifnya Jadi Segini
",Positif
"
Sopir Bus Rosalia Indah Diduga Ngantuk, Menhub: Tak Boleh Nyetir Lebih dari 8 Jam!
",Negatif
"
Libur Lebaran, Warga Langsung Serbu Kereta Cepat
",Positif
"
Kecelakaan Maut di Tol Batang, PO Bus Rosalia di Ambang Sanksi
",Negatif
"
Pascalongsor, Tol Bocimi Dibuka Fungsional
",Netral
"
Menhub Ungkap Analisis Penyebab Kecelakaan Maut Bus Rosalia Indah
",Netral
"
Segini Besaran Subsidi Elpiji 3 Kg yang Sempat Dipakai Prilly
",Negatif
"
Inggris Cetak 4 Uang Baru Dengan Wajah Raja Charles Tanpa Mahkota!
",Netral
"
Canggih! Perusahaan Tambang Ini Pakai AI Temukan Berlian
",Positif
"
Jasa Raharja Jamin Seluruh Korban Kecelakaan Maut Bus Rosalia Indah
",Netral
"
Menhub Kembali Blusukan ke Tol Jakarta-Cikampek, Ada Apa?
",Netral
"
Kereta Cepat Whoosh Full Saat Libur Lebaran, Ingat Aturan Bagasinya!
",Netral
"
Konsumsi BBM Pertamina Capai Puncak, Pertamax hingga LPG 3 Kg Laris Manis
",Positif
"
Arus Keluar Masih Tinggi, 1,5 Juta Kendaraan Tinggalkan Jabotabek
",Negatif
"
Jadwal Operasional Ekspedisi J&T dan JNE saat Lebaran 2024
",Netral
"
Jack Ma Muncul Lagi ke Publik, Saham Alibaba Langsung Melejit
",Positif
"
Terungkap! Sosok di Balik Gambar Keluarga Ikonik di Kaleng Khong Guan
",Netral
"
3 Orang RI Ini Punya Harta Lebih Banyak dari Jack Ma
",Negatif
"
Heboh Prilly Pakai Tabung Gas 3 Kg, Ini Aturan Penggunaannya
",Netral
"
Tol Bocimi Ruas Cigombong-Cibadak Dibuka Jam 12 Siang Ini
",Netral
"
Fitch Pangkas Prospek Surat Utang China Jadi Negatif, Ada Apa?
",Negatif
"
Kronologi Ibu Melahirkan di KA Sembrani saat Mudik Lebaran
",Netral
"
Jasa Perahu Motor Tujuan Tidore Meningkat Saat Lebaran
",Positif
"
Harga Emas Lagi Cetak Rekor, Begini Cara Cek Untungnya
",Positif
"
Ini Negara Motor Pertumbuhan Ekonomi Asia 2024, Ada Indonesia?
",Netral
"
Dapat Angpau Isinya Uang Langka Ini? Bisa Ditukar di Sini
",Positif
"
Masih Butuh Uang Receh Buat Lebaran? Bisa Ditukar di ATM Khusus Ini
",Netral
"
THR Nggak Bikin Kantong Aman Saat Lebaran? Awas 'Penyakit' Turunan Ini
",Negatif
"
Harap Bersabar, Smelter Anyar Freeport Baru Bisa Produksi Agustus
",Netral
"
Zulhas Ogah Harga Pangan Dijual Kelewat Murah, Ini Alasannya
",Negatif
"
Reaksi Bos Freeport Soal Negosiasi Saham yang Jokowi Sebut Alot
",Netral
"
Arus Balik Diskon 20% Lewat Tol, Catat Nih Ruas dan Waktunya!
",Netral
"
Harga Minyak Mentah Mulai Naik Kala Timur Tengah Bergejolak
",Negatif
"
Mengintip Suasana Mal di Jakarta Saat Libur Lebaran
",Netral
"
Angkasa Pura Layani 4,1 Juta Penumpang Pesawat Selama Musim Mudik
",Positif
"
Potret Arus Balik di Pelabuhan Bakauheni Lampung Mulai Ramai
",Netral
"
Cek! Daftar Lengkap Harga BBM di Semua SPBU
",Netral.
"
Musim Mudik Lebaran, Konsumsi Pertamax Turbo Naik 104%!
",Positif
"
Mainan Asal China Masih Banjiri Pasar Gembrong, Pedagang Bilang Gini
",Negatif
"
Hidangan Mewah dengan Baking Dish Diskon di Transmart Full Day Sale
",Netral
"
Bank Daerah Geber Layanan Berbasis Digital
",Positif
"
Ramai-ramai Naik MRT Jakarta Saat Libur Lebaran
",Netral.
"
Belajar Lebih Nyaman dengan Meja Belajar Baru Belinya di Transmart Full Day Sale!
",Netral
"
Potret Ratu Properti yang Dihukum Mati Atas Korupsi Rp 200 Triliun
",Negatif
"
Ada Air Masuk ke Dalam Kereta Whoosh, KCIC Minta Maaf
",Negatif
"
Kotak Bekal dan Tempat Minum Diskon Gede di Transmart Full Day Sale
",Positif
"
Kondisi Terkini Pasar Gembrong di Tengah Gempuran Toko Mainan Online
",Netral
"
Banjir Diskon! Beli Kulkas di Transmart Full Day Sale Hemat sampai Rp 3,4 Juta
",Positif
"
Beli AC di Transmart Full Day Sale Murah Banget, Diskon Bisa sampai Rp 1,3 Juta
",Positif
"
Rezeki Nomplok Lebaran, Pedagang Pasar Gembrong Bisa Kantongi Rp 20 Juta/Hari!
",Positif
"
Pedagang Mainan di Pasar Gembrong Makin Cuan Saat Lebaran
",Positif
"
Cari UHD Smart TV? di Transmart Full Day Sale Ada Diskon hingga Rp 4 Juta!
",Positif
"
Begini Kesiapan Pembangkit Listrik EBT PLN Selama Libur Lebaran
",Netral
"
Cari Sepeda Listrik Kece? ke Transmart Full Day Sale Aja, Ada Diskon Rp 2,7 Juta!
",Positif
"
Mau Naik Whoosh? Jangan Bawa Barang-barang Ini Ya!
",Netral
"
Libur Lebaran, Transmart Full Day Sale Hadir Lagi Sabtu-Minggu, Diskon Melimpah!
",Positif
"
Palang Pintu Perlintasan Kereta Bukan Tanggung Jawab KAI, Begini Aturannya
",Netral
"
Libur Lebaran, Penyaluran Insentif Prakerja Ditiadakan Sampai 16 April
",Negatif
"
Pasar Tanah Abang Blok A Ditutup, Ini Penyebabnya
",Negatif
"
Pengunjung Candi Prambanan Hampir 15.000 di Libur Lebaran
",Netral
"
Segini Harga Sepatu Adidas Samba yang Bikin PM Inggris Rishi Sunak Dihujat
",Negatif
"
BUMN Pangan Pastikan Stok Gula-Migor Aman Selama Libur Lebaran
",Positif
"
Simak! Tol Jogja-Solo Beroperasi Gratis buat Arus Balik, Ini Jadwalnya
",Netral
"
Penumpang Whoosh di Hari Lebaran Tembus 26 Ribu, Paling Banyak Usai Shalat Ied
",Positif
"
Begini Kondisi Angkutan Penyeberangan Libur Lebaran di Muara Angke
",Netral
"
Profil Rosalia Indah yang Busnya Kecelakaan di Tol Batang
",Netral
"
Kerja 20 Menit Sehari, Mantan Guru Bimbel Ini Raup Cuan Rp 612 Juta Per Bulan!
",Positif
"
Jaga Silaturahmi Secara Online, Top Up Paket Data Pakai BRImo
",Netral
"
Waspada Soceng! Ini Tips Transaksi Aman di Momen Lebaran dari BRI
",Netral
"
Gila! Harga Emas Makin Melejit, Sudah Tembus Rp 1.324.000/Gram
",Positif
"
Kecelakaan Maut Bus Rosalia Indah di Tol Batang, Manajemen Buka Suara
",Negatif
"
RI Sampaikan Pengembangan Ekosistem Logistik di Pertemuan Internasional
",Netral
"
Ketakutan Pengusaha hingga Pesan buat Presiden Baru soal Ekonomi RI
",Negatif
"
Pengusaha Wanti-Wanti Prabowo-Gibran Jaga Defisit APBN Tahun Depan
",Negatif
"
Segini Tarif Tol Semarang-Jakarta Setelah Didiskon 20%
",Netral
"
Serba-serbi Gas Melon yang Terciduk Dipakai Prilly
",Netral
"
Gunung di Antartika Tak Cuma Muntahkan Debu Panas, tapi Bercampur Emas 80 Gram
",Netral
"
Senangnya Pengunjung Transmart Full Day Sale, Beli TV 55 Inch Diskon Rp 2 Jutaan
",Positif
"
Suasana Arus Balik di Pelabuhan Bakauheni Lampung
",Netral
"
Serbu Miniso Pink Transmart, Pembeli Senang Barang Lengkap-Gerainya Luas
",Positif
"
Pembeli Senang! Beli 2 Speaker di Transmart Full Day Sale Hemat Rp 2,4 Jutaan
",Positif
"
Dolar AS Makin Perkasa, di Data Google Tembus Rp 16.100
",Negatif
"
Bocoran Proyek Kereta Cepat Pertama di AS, Pakai Shinkansen Jepang
",Positif
"
California AS Bangun Pabrik Baterai Terbesar di Dunia, Begini Progresnya
",Positif
"
Malam Minggu, Pengunjung Transmart Serbu Produk Elektronik
",Positif
"
Suasana Arus Balik Mulai Terlihat di Stasiun Pasar Senen
",Netral
"
Jepang & Amerika Makin Mesra, Kompak Awasi Ketat China dan Rusia
",Negatif
"
India Gacor Banget! Sumbang 200 Orang di Daftar Manusia Terkaya Sejagat
",Positif
"
Tol Bocimi Dibuka Fungsional untuk Arus Balik Lebaran
",Netral
"
Ada Transmart Full Day Sale, Pelanggan Puas Belanja Lebih Hemat dan Lengkap!
",Positif
"
3 Juta Tiket Kereta Momen Lebaran Ludes! Rute Ini yang Paling Dicari
",Negatif
"
Berapa Sih Duit yang Harus Disiapkan buat Nonton Coachella?
",Netral
"
Banyak Produk Lucu yang Bikin Belanja di Miniso Transmart Ketagihan!
",Positif
"
Isi Saldo e-Toll Rp 500.000-Rp 1.000.000 Biar Balik ke Jakarta Via Tol Lancar
",Netral
"
ASN Kriteria Ini Nggak Dapat WFH 16-17 April, Wajib Ngantor!
",Negatif
"
ASN Jangan Cihuy Dulu Nih Dapat Izin WFH 16-17 April! Hanya Boleh 50%
",Negatif
"
Bandara Soetta Diprediksi Layani 190 Ribu Orang Saat Puncak Arus Balik
",Positif
"
Lebih Lengkap dan Variatif, Gerai Miniso Pink Transmart Kokas Banjir Diskon!
",Positif
"
Kriteria ASN yang Diizinkan WFH 16-17 April
",Netral
"
Belanja di Transmart Full Day Sale, 1 Set Meja Makan Diskon hingga Rp 700 Ribuan
",Positif
"
Perbaikan Rel Usai Insiden KRL ke Kampung Bandan Anjlok
",Netral
"
Segera Daftarkan NIK Jadi NPWP, Kalau Nggak Ini Risikonya
",Negatif
"
Pengumuman! ASN Diizinkan WFH 16-17 April, Ini Aturannya
",Netral
"
Muncul Usulan WFH demi Cegah Kepadatan Arus Balik, Pengusaha Langsung Buka Suara
",Negatif
"
Tarif Tol Semarang ke Jakarta Setelah Dapat Diskon Arus Balik
",Netral
"
5 Jurus Tapping di Gerbang Tol, Kamu Nomor Berapa?
",Netral
"
Ini 3 Negara Paling Juara Kirim Barang ke RI
",Netral
"
Pengakuan Menteri Jokowi Nangis Lihat Masyarakat Mudik Lebaran
",Netral.
"
Serbu! Transmart Full Day Sale Obral Aneka Bakso Seafood Hari Ini
",Positif
"
Bikin Pengusaha Gelisah, Impor RI Paling Banyak Barang Apa Sih?
",Negatif
"
Mengulik Standar Gaji buat Hidup Layak di Jakarta
",Netral
"
Kemeja Pria Obral Gede-gedean, Cuma di Transmart Full Day Sale Hari Ini!
",Positif
"
Viral Video Sri Mulyani Bicara Utang Negara di Sidang MK, Kemenkeu Pastikan Hoax!
",Negatif
"
Wujud Uang Baru Inggris dengan Wajah Raja Charles
",Netral
"
Cara Buka Gerai Alfamart dan Indomaret Termasuk Biayanya
",Netral
"
Apa Iya Utang Pinjol Bisa Hangus Sendiri?
",Negatif
"
Kisah Sukses UMKM Binaan BRI, Raup Omzet Puluhan Juta dari Makanan Sehat
",Positif
"
Suasana Arus Balik di Tol Fungsional Solo-Yogyakarta
",Netral.
"
Balada Negosiasi Saham Freeport yang Jokowi Sebut Alot
",Negatif
"
Panas Iran Vs Israel Bikin Waswas! Maskapai Ini Terpaksa Setop Satu Rute
",Negatif
"
Gokil! Perusahaan Tambang di Afrika Ini Pakai AI Cari Berlian
",Netral
"
Kecelakaan Kereta Vs Kendaraan Tembus 414 Kasus, Balik Mudik Hati-hati!
",Negatif
"
Kue Cromboloni Jadi Murah Banget di Transmart Full Day Sale!
",Positif
"
Pengusaha Gelisah RI Kebanjiran Barang Impor
",Negatif
"
Merapat ke Transmart Full Day Sale Sekarang! Apel Fuji Jadi Murah Meriah
",Positif
"
Harga Emas Hari Ini Turun! Beli 5 Gram Harganya Jadi Segini
",Negatif
"
Penumpang KRL Jabodetabek Tembus 300 Ribu Orang di Hari Kedua Lebaran
",Netral
"
1 Set Kasur Empuk Diskon hingga Rp 4 Jutaan di Transmart Full Day Sale!
",Netral
"
Promo BRI Spesial HUT BUMN, Bikin Liburan Makin Happy!
",Positif
"
Ini Dia Truong My Lan, Crazy Rich Vietnam yang Dijatuhi Hukuman Mati
",Negatif
"
Cerita Pedagang Mainan Pasar Gembrong soal Cuan dari Libur Lebaran
",Positif
"
Sejarah Tol di RI, Pembangunan Masif Era Jokowi, hingga Jadi Andalan Mudik
",Netral
"
Ternyata Segini Harga Sepatu Adidas Samba yang Bikin PM Inggris Dihujat
",Negatif
"
Jangan Lupa! Transmart Full Day Sale Hari Ini Datang Lagi, Diskonnya Mantul
",Positif
"
Daftar Harga BBM April yang Berlaku di Semua SPBU
",Netral
"
Daftar Tol Berlaku Diskon 20% Saat Arus Balik ke Jakarta
",Positif
"
Gerai Miniso Pink Transmart Kokas Diserbu Pembeli
",Positif
"
Stasiun Integrasi KRL Dipadati Penumpang Jelang Berakhirnya Libur Lebaran
",Netral
"
Transmart Full Day Sale Hari Ini Mau Selesai, Gerai Kokas Masih Padat Pembeli
",Positif
"
Hadapi Arus Balik, 37 Bandara Angkasa Pura Siap Operasi 24 Jam
",Netral
"
Senangnya Pelanggan Dapat Diskon Gede saat Beli TV di Transmart Full Day Sale
",Positif
"
Jasa Marga Prediksi 100 Ribu Lebih Kendaraan Kembali ke Jabodetabek Besok
",Netral
"
Garuda & Citilink Terbangkan 80 Ribu Penumpang di Puncak Arus Mudik
",Positif
"
Bank Sudah Jual Dolar AS Rp 16.000
",Negatif
"
Kemnaker: WFH 16-17 April buat Pegawai Swasta Kebijakan Masing-masing Perusahaan
",Netral
"
Rupiah Keok, Dolar AS Tembus Rp 16.100 di Google
",Negatif
"
Diskon Baju Anak hingga 50% Cuma di Transmart Full Day Sale
",Positif
"
Serba Pink, Miniso Transmart Mal Kokas Diserbu Pembeli
",Positif
"
Pengusaha Beberkan Dampak Jika Pegawai Swasta Ikut WFH 16-17 April
",Negatif
"
Transmart Full Day Sale Balik Lagi, Ada Diskon Sepeda Listrik Sampai Rp 2,7 Jutaan
",Positif
"
Layanan Kereta buat Mudik Anti Ngaret, Begini Datanya
",Positif
"
Beli Baju di Transmart Full Day Sale, Murahnya Kebangetan!
",Positif
"
Serang Israel, Kekuatan Tempur Iran Disokong Anggaran Militer Ratusan Triliun!
",Negatif
"
Beli Meja Komputer di Transmart Full Day Sale, Harganya Miring Banget!
",Positif
"
Wajib Ngantor! ASN Kriteria Ini Nggak Dapat WFH 16-17 April
",Negatif
"
Meja Makan buat Sarapan Ini Murah Meriah di Transmart Full Day Sale
",Positif
"
KAI Tambah Perjalanan Kereta Yogya-Gambir, Tiket Bisa Dibeli Hari Ini
",Positif
"
Buruan Serbu! di Transmart Full Day Sale Ada Tempat Tidur Murah Meriah
",Positif
"
KM Dobonsolo yang Bawa Peserta Mudik Gratis Tiba Kembali di Tanjung Priok
",Netral
"
ASN Bisa WFH 16-17 April, Pegawai Swasta Gimana?
",Netral
"
Pesta Diskon! Kasur di Transmart Full Day Sale Bisa Lebih Murah Rp 4,6 Jutaan
",Positif
"
Berani Serang Israel, Begini Kekuatan Ekonomi Iran Sang Juragan Migas Dunia
",Negatif
"
Siap Layani Arus Balik, Posko Mudik BRImo Hadir di Rute Strategis
",Positif
"
Wow! Beli Kulkas di Transmart Full Day Sale Irit sampai Rp 3,4 Jutaan
",Positif
"
Penumpang Kereta Cepat Whoosh Diprediksi Tembus 20 Ribu Orang Hari Ini
",Positif
"
Transmart Full Day Sale Balik Lagi, AC 1/2 PK  Cuma Rp 2,7 Jutaan!
",Positif
"
Iran Serang Israel, Harga Minyak Dunia Ikut Memanas!
",Negatif
"
Banjir Promo Transmart Full Day Sale, Smart TV Diskon Rp 4 Jutaan
",Positif
"
Panas Iran Vs Israel Bikin Waswas Maskapai hingga Tutup Rute
",Negatif
"
AS Bakal Gandeng Jepang Garap Kereta Cepat Pertama
",Positif
"
Rincian Aturan ASN Diizinkan WFH 16-17 April
",Netral
"
Masih Libur Lebaran Nih, Yuk ke Transmart Full Day Sale, Banjir Diskon Guys!
",Positif
"
Isi Saldo e-Toll Segini Biar Nggak Terhambat Saat Arus Balik
",Netral
"
Maskapai Berbiaya Murah Singapura Beli Pesawat Baru Buatan Brasil
",Netral
"
Hari Pertama Kerja, 900 Ribu Orang Diramal Naik KRL Jabodetabek
",Netral
"
Perang Iran Vs Israel Bikin Harga Minyak Mendidih, Begini Respons Pertamina
",Negatif
"
Buka Setelah Tutup Berbulan-bulan, Toko Roti di Gaza Diserbu Warga
",Positif
"
Mengukur Dampak Perang Iran Vs Israel ke IHSG dan Nilai Tukar Rupiah
",Negatif
"
Suasana Puncak Arus Balik di Pelabuhan Merak
",Netral
"
Rupiah Lesu, Money Changer Jual Dolar AS Nyaris Rp 16.000
",Negatif
"
Suasana Arus Balik di Stasiun Gambir
",Netral
"
Apple Bukan Lagi Produsen Smartphone Terbesar Dunia, Ini Datanya
",Negatif
"
Mudik Lebaran, Transaksi SPKLU di Rest Area Naik 5 Kali Lipat
",Positif
"
Ada Mudik Lebaran, Konsumsi BBM di Sumut Melonjak 42%
",Positif
"
Lihat Peluang, UMKM ORORA Dulang Cuan dari Tren Fashion Ala Korea
",Positif
"
PR Baru buat Prabowo-Gibran Imbas Perang Iran Vs Israel
",Negatif
"
Eropa Banjir Produk China, Pabrik Panel Surya di Jerman Tutup
",Negatif
"
Airlangga Gelar Rapat Darurat Bahas Imbas Perang Iran Vs Israel
",Negatif
"
Bayar Asuransi di China Bisa Pakai QR hingga Pengenal Wajah
",Netral.
"
Subsidi Bisa Bengkak Imbas Iran Vs Israel, Harga BBM Bakal Naik?
",Negatif
"
Ribuan Pemudik Balik Kerja Bareng ke Ibu Kota Gratis
",Netral
"
Timur Tengah Bergejolak, Maskapai Ini Tangguhkan Penerbangan ke Iran-Israel
",Negatif
"
Melihat PLTU Bengkayang yang Suplai Listrik Khatulistiwa saat Lebaran
",Netral
"
Bitcoin Melesat di Tengah Panasnya Konflik Iran vs Israel
",Negatif
"
Harga Minyak Dunia Makin Mendidih Imbas Konflik Israel-Iran Memanas!
",Negatif
"
Momen Libur Lebaran, Warga Serbu Kereta Cepat
",Netral
"
KAI Angkut 218 Ribu Penumpang Saat Puncak Arus Balik
",Positif
"
Rial Mata Uang Iran Anjlok Usai Serang Israel
",Negatif
"
Unik! Xi Yaopin Zhi Promosikan Produk di Pintu Toilet Rest Area
",Negatif
"
Iran vs Israel Memanas, Harga Emas Antam Terbang Tinggi Banget!
",Negatif
"
Lebaran Telah Usai, Harga Cabai hingga Daging Sapi Mulai Turun
",Positif
"
Lewat Tol Trans Sumatera Diskon 20%, Ini Rinciannya
",Positif
"
KAI Tebar Diskon buat yang Mudik Belakangan, Ini Rutenya
",Positif
"
Keripik Tempe Rohani Khas Malang Sukses Berkembang Berkat KUR BRI
",Positif
"
Harga Emas Meroket Usai Serangan Iran, Pasar Waswas Israel Membalas
",Negatif
"
Biar Nggak Bikin Macet, Siapkan Saldo Segini buat Balik Lewat Tol
",Negatif
"
Ada Konflik Iran-Israel, Sri Mulyani Tiba-tiba Rapat Darurat Bareng Anak Buah
",Negatif
"
Ini Sumber Kekuatan Ekonomi Iran yang Berani Serang Israel
",Negatif
"
Jangan Lupa Mampir ke Transmart! Ada Diskon 20% untuk Aneka Produk Segar
",Positif
"
Jurus Lion Group Jaga Keamanan Penerbangan dan Penumpang
",Netral
"
ASN Bisa WFH 16-17 April, Pegawai Swasta Sabar Dulu Ya
",Netral
"
Rupiah Kurang Darah, Sudah Ada Bank Jual Dolar AS Rp 16.000
",Negatif
"
Hari Terakhir Libur Lebaran, Penumpang Kereta Cepat Tembus 21 Ribu Orang
",Positif
"
Aturan Pembatasan Barang Kiriman TKI Dicabut!
",Positif
"
KKP Amankan Pelaku Alih Muatan dari Kapal Ikan Asing di Laut Arafura
",Negatif
"
Konsumsi Pertamax cs Melonjak 24 Maret-15 April, Ini Datanya
",Netral
"
Sri Lanka Gagal Restrukturisasi Utang, Bantuan IMF Terancam Nggak Cair
",Negatif
"
Indahnya Pemandangan Jalan Pansela Jawa yang Jadi Alternatif Mudik Lebaran
",Netral
"
Perputaran Ekonomi Indonesia di Lebaran 2024 Ditaksir Tembus Rp 369 T
",Positif
"
4 Hasil Rapat soal Pembatasan Barang dari Luar Negeri, Termasuk Kiriman TKI
",Netral
"
Lihat Sendiri! Sebanyak Ini Orang yang Main ke Pantai Pas Libur Lebaran
",Netral
"
Konflik Iran vs Israel Bisa Bikin Ekonomi RI Melambat?
",Negatif
"
Bursa Saham Bersejarah Kopenhagen Kebakaran, Puncak Menara Runtuh
",Negatif
"
2.086 Ha Tanah IKN Bermasalah, AHY: Kami Siap Beri Sertifikat, Tapi...
",Negatif
"
Kenapa Beton Harus Disiram Air? Ternyata Ini Alasannya
",Netral
"
Berburu Lowongan di Bursa Kerja 2024 Gianyar Bali
",Netral
"
Jumbo! Perputaran Uang Selama Libur Lebaran Diprediksi Rp 369 T
",Positif
"
Zulhas Tak Lagi Atur Barang Bawaan Penumpang dari Luar Negeri
",Netral
"
Rupiah Makin Keok Lawan Dolar AS Hari Ini
",Negatif
"
Alasan Zulhas Cabut Aturan Pembatasan Barang Kiriman TKI
",Netral
"
Zulhas Minta Bea Cukai Lepaskan Barang Kiriman TKI yang Tertahan
",Positif
"
Airlangga Beberkan Efek Konflik Iran Vs Israel Setelah Rapat Bareng Jokowi
",Netral
"
2 Ruas Tol Trans Sumatera yang Dibuka Fungsional Diperpanjang hingga 21 April
",Netral
"
Tak Lagi Dibatasi, Barang Kiriman TKI Bisa sampai US$ 1.500/Tahun
",Positif
"
Lebaran Rampung, AHY Bakal Keliling RI buat Gebuk Mafia Tanah
",Negatif
"
Pemudik Feri Bakauheni Apresiasi Petugas Pelabuhan yang Rela Tidak Mudik
",Netral
"
Iran-Israel Memanas, Kemnaker Kaji Pencabutan Moratorium TKI ke Timur Tengah
",Negatif
"
Cara Buka Blokir BRImo Lewat Email, Cepat dan Mudah
",Netral
"
Terungkap! Ini Rest Area yang Paling Banyak Disinggahi Pemudik
",Netral
